2019-02-12 21:27:07,213 [I] 	(at main.py:29) 
2019-02-12 21:27:33,495 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,496 [D] -:F:n:WD_1:mbe.c:4	(at logger.py:129) 
2019-02-12 21:27:33,496 [D] -:F:n:WD_2:mbe.c:4	(at logger.py:129) 
2019-02-12 21:27:33,496 [D] -:F:n:WD_3:mbe.c:4	(at logger.py:129) 
2019-02-12 21:27:33,496 [D]  : : :pass:mbe.c:3	(at logger.py:129) 
2019-02-12 21:27:33,497 [D]  : : :pass:mbe.c:2	(at logger.py:129) 
2019-02-12 21:27:33,497 [D]  : : :pass:mbe.c:1	(at logger.py:129) 
2019-02-12 21:27:33,497 [D] comp_cached_cnt:3	(at logger.py:134) 
2019-02-12 21:27:33,497 [D] compile_cnt:145	(at logger.py:134) 
2019-02-12 21:27:33,497 [D] execute_cnt:23	(at logger.py:134) 
2019-02-12 21:27:33,497 [D] fail_del_cnt:20	(at logger.py:134) 
2019-02-12 21:27:33,497 [D] iter_idx:2	(at logger.py:134) 
2019-02-12 21:27:33,497 [D] reuse_cnt:0	(at logger.py:134) 
2019-02-12 21:27:33,497 [D] succ_del_cnt:3	(at logger.py:134) 
2019-02-12 21:27:33,497 [D] time:10.033293008804321	(at logger.py:134) 
2019-02-12 21:27:33,497 [D] deletion:32	(at logger.py:136) 
2019-02-12 21:27:33,498 [I] Iteration 2 finished	(at orbs.py:87) 
2019-02-12 21:27:33,499 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 21:27:33,499 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:27:33,499 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:33,499 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:33,499 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:33,520 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,520 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:33,540 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,540 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:33,540 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:33,562 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,562 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:33,562 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:33,562 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:33,618 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:33,634 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,634 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:33,634 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:33,652 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,652 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:27:33,653 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:33,653 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:33,669 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,669 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:33,685 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,685 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:33,685 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:33,702 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,702 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:27:33,702 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:33,703 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:33,718 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,718 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:33,734 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,734 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:33,734 [D] └:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:33,750 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,750 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:27:33,750 [D] |:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:33,750 [D] └:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:33,750 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 21:27:33,772 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,772 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:33,788 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,788 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:33,788 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:33,804 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,804 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:27:33,804 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:33,804 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:33,863 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:33,877 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,878 [D] ┌:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:33,878 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:33,892 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,892 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:27:33,892 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:33,892 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:33,907 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,907 [D] -:F:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:33,925 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,925 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:33,925 [D] └:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:33,965 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,965 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:27:33,965 [D] |:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:33,965 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:33,981 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,982 [D] -:F:n:WD_1:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:33,997 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:33,998 [D] ┌:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:33,998 [D] └:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:34,025 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,025 [D] ┌:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:27:34,025 [D] |:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:34,026 [D] └:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:34,026 [D]  : : :pass:mbe.c:65	(at logger.py:129) 
2019-02-12 21:27:34,043 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,043 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:34,060 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,060 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:34,060 [D] └:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:34,076 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,076 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:27:34,076 [D] |:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:34,076 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:34,126 [D] -:C:n:WD_1:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:34,142 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,142 [D] ┌:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:34,142 [D] └:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:34,158 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,158 [D] ┌:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 21:27:34,158 [D] |:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:34,158 [D] └:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:34,173 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,174 [D] -:F:n:WD_1:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:34,188 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,189 [D] ┌:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:34,189 [D] └:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:34,231 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,232 [D] ┌:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 21:27:34,232 [D] |:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:34,232 [D] └:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:34,246 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,246 [D] -:F:n:WD_1:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:34,266 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,266 [D] ┌:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:34,266 [D] └:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:34,284 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,285 [D] ┌:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 21:27:34,285 [D] |:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:34,285 [D] └:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:34,285 [D]  : : :pass:mbe.c:60	(at logger.py:129) 
2019-02-12 21:27:34,300 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,300 [D] -:F:n:WD_1:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:34,319 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,319 [D] ┌:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:34,319 [D] └:F:n:WD_2:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:34,340 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,340 [D] ┌:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 21:27:34,340 [D] |:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:34,340 [D] └:F:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:34,340 [D]  : : :pass:mbe.c:58	(at logger.py:129) 
2019-02-12 21:27:34,340 [D]  : : :pass:mbe.c:57	(at logger.py:129) 
2019-02-12 21:27:34,357 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,357 [D] -:F:n:WD_1:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:34,373 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,373 [D] ┌:F:n:WD_2:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:34,374 [D] └:F:n:WD_2:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:34,390 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,390 [D] ┌:F:n:WD_3:mbe.c:56	(at logger.py:129) 
2019-02-12 21:27:34,390 [D] |:F:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:34,390 [D] └:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:34,443 [D] -:C:n:WD_1:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:34,461 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,461 [D] ┌:F:n:WD_2:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:34,461 [D] └:F:n:WD_2:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:34,479 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,480 [D] ┌:F:n:WD_3:mbe.c:55	(at logger.py:129) 
2019-02-12 21:27:34,480 [D] |:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:34,480 [D] └:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:34,501 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,501 [D] -:F:n:WD_1:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:34,521 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,522 [D] ┌:F:n:WD_2:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:34,522 [D] └:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:34,539 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:34,539 [D] ┌:F:n:WD_3:mbe.c:54	(at logger.py:129) 
2019-02-12 21:27:34,539 [D] |:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:34,539 [D] └:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:35,590 [D] -:C:n:WD_1:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:35,605 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,605 [D] ┌:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:35,605 [D] └:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:35,619 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,620 [D] ┌:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 21:27:35,620 [D] |:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:35,620 [D] └:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:35,635 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,635 [D] -:F:n:WD_1:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:35,649 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,649 [D] ┌:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:35,649 [D] └:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:35,664 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,664 [D] ┌:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 21:27:35,664 [D] |:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:35,664 [D] └:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:35,681 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,681 [D] -:F:n:WD_1:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:35,697 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,697 [D] ┌:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:35,697 [D] └:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:35,713 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,714 [D] ┌:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 21:27:35,714 [D] |:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:35,714 [D] └:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:27:35,714 [D]  : : :pass:mbe.c:50	(at logger.py:129) 
2019-02-12 21:27:35,729 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,729 [D] -:F:n:WD_1:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:35,747 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,748 [D] ┌:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:35,748 [D] └:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 21:27:35,767 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/2/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:35,768 [D] ┌:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 21:27:35,768 [D] |:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:27:35,768 [D] └:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 21:27:35,768 [D]  : : :pass:mbe.c:48	(at logger.py:129) 
2019-02-12 21:27:35,768 [D]  : : :pass:mbe.c:47	(at logger.py:129) 
2019-02-12 21:27:35,768 [D]  : : :pass:mbe.c:46	(at logger.py:129) 
2019-02-12 21:27:35,768 [D]  : : :pass:mbe.c:45	(at logger.py:129) 
2019-02-12 21:27:35,769 [D] -:F:n:WD_1:mbe.c:44	(at logger.py:129) 
2019-02-12 21:27:35,769 [D] ┌:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 21:27:35,769 [D] └:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 21:27:35,769 [D] ┌:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:27:35,769 [D] |:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 21:27:35,769 [D] └:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 21:27:35,770 [D] -:C:c:WD_1:mbe.c:43	(at logger.py:129) 
2019-02-12 21:27:35,770 [D] ┌:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 21:27:35,770 [D] └:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 21:27:35,770 [D] ┌:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 21:27:35,770 [D] |:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 21:27:35,770 [D] └:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 21:27:35,770 [D] -:F:n:WD_1:mbe.c:42	(at logger.py:129) 
2019-02-12 21:27:35,770 [D] ┌:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] └:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] ┌:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] |:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] └:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] -:C:c:WD_1:mbe.c:41	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] ┌:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] └:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] ┌:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] |:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 21:27:35,771 [D] └:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 21:27:35,772 [D] -:F:n:WD_1:mbe.c:40	(at logger.py:129) 
2019-02-12 21:27:35,772 [D] ┌:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 21:27:35,772 [D] └:F:n:WD_2:mbe.c:39	(at logger.py:129) 
2019-02-12 21:27:35,772 [D] ┌:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 21:27:35,772 [D] |:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 21:27:35,772 [D] └:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 21:27:35,772 [D] -:F:n:WD_1:mbe.c:39	(at logger.py:129) 
2019-02-12 21:27:35,772 [D] ┌:F:n:WD_2:mbe.c:39	(at logger.py:129) 
2019-02-12 21:27:35,773 [D] └:F:n:WD_2:mbe.c:37	(at logger.py:129) 
2019-02-12 21:27:35,773 [D] ┌:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 21:27:35,773 [D] |:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 21:27:35,773 [D] └:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 21:27:35,773 [D]  : : :pass:mbe.c:38	(at logger.py:129) 
2019-02-12 21:27:35,773 [D] -:F:n:WD_1:mbe.c:37	(at logger.py:129) 
2019-02-12 21:27:35,773 [D] ┌:F:n:WD_2:mbe.c:37	(at logger.py:129) 
2019-02-12 21:27:35,773 [D] └:F:n:WD_2:mbe.c:35	(at logger.py:129) 
2019-02-12 21:27:35,774 [D] ┌:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 21:27:35,774 [D] |:F:n:WD_3:mbe.c:35	(at logger.py:129) 
2019-02-12 21:27:35,774 [D] └:F:n:WD_3:mbe.c:34	(at logger.py:129) 
